area_type,availability,size,society,total_sqft,bath,balcony,price,site_location
Super built-up  Area,18-Apr,2 BHK,,966,2,1,49,Bahadurpura
Super built-up  Area,18-Dec,2 BHK,Vaniai ,1045,2,1,58,Bahadurpura
Super built-up  Area,19-Jul,2 BHK,Goues A,1033,2,1,52.58,Bahadurpura
Super built-up  Area,21-Dec,2 BHK,PrarePa,900,2,1,41,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,Ajacea ,1460,2,3,70,Bahadurpura
Super built-up  Area,Ready To Move,1 BHK,Brine J,750,1,1,52.5,Bahadurpura
Super built-up  Area,21-Dec,3 BHK,Bhe 2ko,1732,3,1,85.73,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,,1495,2,2,52.33,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,,1148,2,1,56,Bahadurpura
Super built-up  Area,18-May,4 BHK,Dheusag,2328,4,1,528,Bahadurpura
Built-up  Area,Ready To Move,4 Bedroom,,2100,4,1,90,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,,1910,3,3,119,Bahadurpura
Super built-up  Area,Ready To Move,1 BHK,KHatsFl,500,2,1,24,Bahadurpura
Super built-up  Area,18-Apr,3 BHK,,1176,2,1,35.27,Bahadurpura
Built-up  Area,Ready To Move,4 BHK,,3200,4,,280,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,Inentva,1020,2,2,60,Bahadurpura
Super built-up  Area,19-Dec,3 BHK,Shestut,1750,3,1,123,Bahadurpura
Built-up  Area,18-Dec,2 BHK,,1125,2,1,32.49,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,Ranorar,950,2,2,38,Bahadurpura
Built-up  Area,Ready To Move,3 BHK,Goateds,1725,2,1,165,Bahadurpura
Super built-up  Area,Ready To Move,1 BHK,Ciisera,665,1,2,32,Bahadurpura
Super built-up  Area,Ready To Move,4 BHK,,2400,4,3,250,Bahadurpura
Super built-up  Area,18-Dec,3 BHK,Magiaya,1355,3,2,83.87,Bahadurpura
Plot  Area,Ready To Move,3 Bedroom,Hiowsi ,1240,4,1,180,Bahadurpura
Plot  Area,Ready To Move,4 Bedroom,,1200,3,2,125,Bahadurpura
Plot  Area,Ready To Move,4 Bedroom,,1100,4,2,220,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,Srrnasa,1027,2,2,42,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,Itvir M,919,2,2,35,Bahadurpura
Super built-up  Area,Ready To Move,1 BHK,Shiaa S,645,1,0,42.5,Bahadurpura
Super built-up  Area,18-Jun,3 BHK,Puwerun,1613,3,0,150,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,BSian M,1020,2,1,46,Bahadurpura
Super built-up  Area,18-Aug,3 BHK,MaitySe,1280,2,1,100,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,Reverve,1115,2,2,60,Bahadurpura
Super built-up  Area,18-Nov,1 BHK,VBn 2lm,416,1,1,18,Bahadurpura
Built-up  Area,Ready To Move,3 BHK,Bhmesy ,1491,3,1,88,Bahadurpura
Super built-up  Area,19-Mar,3 BHK,PualeSk,1929,4,1,101,Bahadurpura
Built-up  Area,Ready To Move,2 BHK,,850,2,1,25.99,Bahadurpura
Built-up  Area,Ready To Move,3 BHK,Gomeseg,1770,3,2,90,Bahadurpura
Super built-up  Area,18-Apr,2 BHK,Rosha I,1444,2,1,75.97,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,UKe 2nz,2025,4,2,115,Bahadurpura
Super built-up  Area,18-Aug,3 BHK,Dieldli,1397,3,3,105,Bahadurpura
Built-up  Area,Ready To Move,3 BHK,,1738,3,0,110,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,PrityTr,1139,2,2,56.5,Bahadurpura
Built-up  Area,Ready To Move,2 BHK,,760,2,2,37.49,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,MKllei ,1155,2,2,39,Bahadurpura
Super built-up  Area,Ready To Move,4 BHK,,3400,4,2,275,Bahadurpura
Super built-up  Area,18-Jan,1 BHK,SJityaz,702,1,1,52,Bahadurpura
Super built-up  Area,18-Jul,4 BHK,Mamespa,1791 - 4000,,,246,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,,1330,2,2,80,Bahadurpura
Plot  Area,Ready To Move,2 Bedroom,,1152,1,0,66,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,Maantr ,1314,2,2,110,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,,1100,2,1,75,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,,1500,3,2,56,Bahadurpura
Built-up  Area,Ready To Move,3 BHK,PlhtsHe,1464,2,2,115,Bahadurpura
Super built-up  Area,18-Dec,2 BHK,,850,2,1,25.4,Bahadurpura
Super built-up  Area,Ready To Move,4 BHK,Shodsir,2650 - 2990,4,0,153.5,Bahadurpura
Super built-up  Area,20-Nov,2 BHK,AsNowre,985,2,1,50.17,Bahadurpura
Built-up  Area,Ready To Move,2 BHK,,1000,2,0,70,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,GMown E,770,1,1,38,Bahadurpura
Super built-up  Area,18-Aug,2 BHK,DSeldpr,1200,2,1,36,Bahadurpura
Built-up  Area,Ready To Move,3 BHK,Sariaat,2200,3,2,275,Bahadurpura
Super built-up  Area,Ready To Move,7 BHK,,3000,6,3,180,Bahadurpura
Built-up  Area,Ready To Move,5 Bedroom,,2000,5,2,240,Bahadurpura
Super built-up  Area,18-Dec,2 BHK,DSestSt,1025,2,1,28.57,Bahadurpura
Plot  Area,18-Jul,2 Bedroom,,1200,2,1,45.84,Bahadurpura
Built-up  Area,Ready To Move,3 BHK,NCs 2rj,1350,2,3,85,Bahadurpura
Super built-up  Area,18-Jul,3 BHK,Mamespa,1776,3,2,150,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,,1800,2,1,45,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,SLhidOr,1426,2,2,61.5,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,AritaFe,1563,3,2,63,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,E onsg ,2150,3,0,170,Bahadurpura
Built-up  Area,Ready To Move,2 BHK,,1052,2,2,52,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,Peide L,1194,2,2,46,Bahadurpura
Plot  Area,Ready To Move,4 Bedroom,,750,4,2,125,Bahadurpura
Built-up  Area,Ready To Move,3 BHK,Macanr ,1400,3,2,74,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,DSestil,1100,2,1,41,Bahadurpura
Plot  Area,Ready To Move,4 Bedroom,,2400,5,3,550,Bahadurpura
Super built-up  Area,Ready To Move,1 BHK,,410,1,1,10,Bahadurpura
Super built-up  Area,18-Apr,3 BHK,Shiumi ,1768,3,3,81.31,Bahadurpura
Super built-up  Area,19-Dec,2 BHK,DSrry S,1088,2,1,30.46,Bahadurpura
Plot  Area,Ready To Move,6 Bedroom,,2400,6,2,475,Bahadurpura
Plot  Area,Ready To Move,4 Bedroom,,1200,4,3,155,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,Shodsir,1200 - 1470,2,0,72.76,Bahadurpura
Built-up  Area,Ready To Move,2 Bedroom,,1600,2,1,90,Bahadurpura
Built-up  Area,18-Mar,4 BHK,Bhmesy ,1917,4,2,130,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,Soiewre,1521,3,1,95,Bandlaguda
Built-up  Area,Ready To Move,3 Bedroom,,1200,3,1,90,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,PuziaVe,1327,2,2,98,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,,1027,2,2,44,Bandlaguda
Built-up  Area,Ready To Move,3 BHK,,1580,2,0,134,Bandlaguda
Plot  Area,Ready To Move,5 Bedroom,Bemesrm,1200,5,2,190,Bandlaguda
Plot  Area,Immediate Possession,,Asiss B,1200 - 2400,,,34.185,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,,1355,2,2,115,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,Prodsth,820,2,1,30,Bandlaguda
Built-up  Area,Ready To Move,2 BHK,IBityin,1170,2,2,57,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,Saowson,1440,2,3,68,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,PuontBe,1464,2,3,105,Bandlaguda
Plot  Area,Ready To Move,4 Bedroom,Esnamin,1200,4,3,120,Bandlaguda
Built-up  Area,Ready To Move,2 BHK,RothaVa,1180,2,2,75,Bandlaguda
Built-up  Area,Ready To Move,3 BHK,Leilo E,2195,4,2,127,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,GonumPl,3522,3,2,380,Bandlaguda
Built-up  Area,18-Dec,2 BHK,,1192,2,1,71,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,Soianal,2700,4,1,270,Bandlaguda
Super built-up  Area,Ready To Move,1 BHK,,600,1,1,16.5,Bandlaguda
Super built-up  Area,18-Dec,4 BHK,Jaades ,2690,4,3,191,Bandlaguda
Built-up  Area,Ready To Move,2 BHK,,1277,2,2,55,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,,1270,2,2,70,Bandlaguda
Super built-up  Area,22-Jun,3 BHK,GoAirej,1837,3,3,145,Bandlaguda
Super built-up  Area,18-Jul,3 BHK,SNnia E,1875,3,3,110,Bandlaguda
Built-up  Area,Ready To Move,3 BHK,,2300,3,,80,Bandlaguda
Super built-up  Area,Ready To Move,1 BHK,,960,2,1,18,Bandlaguda
Super built-up  Area,22-May,4 BHK,SoineC ,2249.81 - 4112.19,,,260.5,Bandlaguda
Plot  Area,Ready To Move,4 Bedroom,,900,4,3,175,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,Cerdsga,1080,2,0,53.35,Bandlaguda
Super built-up  Area,20-Aug,1 RK,AsNowre,440,1,0,28,Bandlaguda
Plot  Area,Ready To Move,4 Bedroom,,1200,3,2,188,Bandlaguda
Plot  Area,Ready To Move,2 Bedroom,,1350,2,0,90,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,,1515,3,3,65,Bandlaguda
Plot  Area,Ready To Move,4 Bedroom,,1200,4,2,350,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,Laowsba,1110,2,2,41,Bandlaguda
Super built-up  Area,19-Dec,1 BHK,Goted U,613 - 648,1,0,32.79,Bandlaguda
Plot  Area,Ready To Move,4 Bedroom,Adeatlm,4000,5,2,600,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,SaodySa,1512,2,2,110,Bandlaguda
Super built-up  Area,18-Apr,3 BHK,Magiaya,1355,3,1,83.87,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,Soiewre,1521,3,1,94.71,Bandlaguda
Super built-up  Area,20-May,2 BHK,Soena A,1299,2,2,85,Bandlaguda
Super built-up  Area,Ready To Move,4 BHK,Radenta,1896,3,1,125,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,,1140,2,2,50,Bandlaguda
Super built-up  Area,21-Mar,2 BHK,Oztarol,1251,2,1,88.73,Bandlaguda
Built-up  Area,Ready To Move,3 BHK,,2388,4,3,239,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,,1200,2,1,55,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,PuziaVe,1322,2,2,86,Bandlaguda
Plot  Area,Ready To Move,3 Bedroom,,4470,3,,700,Bandlaguda
Built-up  Area,Ready To Move,2 BHK,,1100,2,1,48,Bandlaguda
Built-up  Area,Ready To Move,4 Bedroom,,2100,4,1,95,Bandlaguda
Super built-up  Area,21-Dec,2 BHK,PrarePa,700,2,1,34.98,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,BriumMi,1450,3,2,100,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,,1100,2,1,45,Bandlaguda
Super built-up  Area,19-Jan,3 BHK,Hiatei ,1486,3,1,83.22,Bandlaguda
Plot  Area,Ready To Move,6 Bedroom,,1350,6,3,160,Bandlaguda
Super built-up  Area,Ready To Move,4 BHK,,3895,4,2,495,Bandlaguda
Super built-up  Area,19-Dec,2 BHK,Goues A,1390,2,2,65.31,Bandlaguda
Plot  Area,Ready To Move,4 Bedroom,,1500,4,3,240,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,DLhtsnd,1690,3,2,85,Bandlaguda
Built-up  Area,Ready To Move,5 Bedroom,,45Sq. Yards,6,3,400,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,Bregae ,1290,2,2,80,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,,1302,2,1,68.5,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,Makeser,1000,2,1,36,Bandlaguda
Plot  Area,Ready To Move,7 Bedroom,,600,7,3,110,Bandlaguda
Built-up  Area,Ready To Move,4 BHK,,672,3,1,54,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,PrrloMo,1610,4,2,85,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,Stkarrd,1250,3,3,50,Bandlaguda
Built-up  Area,Ready To Move,3 BHK,Srllaan,1620,3,,65,Bandlaguda
Plot  Area,Ready To Move,6 Bedroom,,1680,6,1,125,Bandlaguda
Plot  Area,Ready To Move,6 Bedroom,,1000,4,2,150,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,,1050,2,2,42.7,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,,1706,3,3,154,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,,1000,1,,90,Bandlaguda
Built-up  Area,Ready To Move,2 BHK,Naenti ,1007,2,2,43,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,,1665,3,,110,Bandlaguda
Plot  Area,Ready To Move,6 Bedroom,,3900,6,,195,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,,1040,2,3,45,Bandlaguda
Built-up  Area,Ready To Move,3 BHK,Fleepi ,1335,2,1,87,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,,1700,3,2,150,Bandlaguda
Plot  Area,Ready To Move,4 Bedroom,Prageta,3500,4,1,289,Bandlaguda
Super built-up  Area,19-Jul,2 BHK,DSera S,1002,2,1,40.08,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,PrityTr,1087,2,1,54.3,Bandlaguda
Plot  Area,Ready To Move,4 Bedroom,,1200,3,1,180,Bandlaguda
Super built-up  Area,Ready To Move,4 BHK,Cruran ,6830,5,,795,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,,1700,3,2,77,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1531,3,3,51.77,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,,1215,2,1,45,Bandlaguda
Built-up  Area,Ready To Move,2 BHK,Koagati,1066,2,1,52.23,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,Eledst ,1250,2,2,95,Bandlaguda
Built-up  Area,Ready To Move,2 BHK,Soncy R,1255,2,1,84,Bandlaguda
Built-up  Area,Ready To Move,2 BHK,ApallEn,1180,2,2,60,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,Prurten,3155,3,2,315,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,Solip T,2003,3,3,200,Bandlaguda
Super built-up  Area,19-Jun,2 BHK,DSata S,1057,2,1,34.71,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,,1175,2,2,47,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,Brway G,1640,3,2,262,Bandlaguda
Plot  Area,18-May,1 Bedroom,,588,1,0,88.2,Bandlaguda
Plot  Area,Ready To Move,6 Bedroom,,2400,6,0,480,Bandlaguda
Super built-up  Area,Ready To Move,1 BHK,Baowsig,700,1,0,35,Bandlaguda
Super built-up  Area,18-Apr,3 BHK,Sariana,1508,3,1,75,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,,1020,2,1,42.83,Bandlaguda
Super built-up  Area,18-Aug,2 BHK,,1140,2,2,49.11,Bandlaguda
Super built-up  Area,Ready To Move,4 BHK,PuoodSk,2330,5,1,175,Bandlaguda
Plot  Area,Ready To Move,4 Bedroom,,1200,5,,325,Bandlaguda
Super built-up  Area,18-May,3 BHK,,1250,3,2,40,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,VBvenal,750,2,1,40,Bandlaguda
Plot  Area,Ready To Move,6 Bedroom,Coronte,1200,6,3,132,Bandlaguda
Built-up  Area,Ready To Move,3 BHK,Asara S,715,2,1,29,Bandlaguda
Super built-up  Area,20-Jan,3 BHK,DNncasa,1842,3,2,115,Bandlaguda
Built-up  Area,Ready To Move,4 Bedroom,Prana S,1632,3,0,140,Bandlaguda
Built-up  Area,18-Jun,4 BHK,,2830,4,3,161,Bandlaguda
Plot  Area,Ready To Move,1 Bedroom,,1350,1,0,55,Bandlaguda
Super built-up  Area,Ready To Move,4 BHK,Maana E,3930,5,2,330,Bandlaguda
Plot  Area,Ready To Move,8 Bedroom,,4482,6,2,852,Bandlaguda
Built-up  Area,Ready To Move,2 BHK,,1305,2,2,52,Bandlaguda
Plot  Area,Ready To Move,4 Bedroom,,1560,3,2,149,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,SRensar,1416,2,2,67,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,DSlesSp,1034,2,1,38,Bandlaguda
Built-up  Area,18-Dec,1 BHK,,1090,2,1,31.48,Bandlaguda
Built-up  Area,Ready To Move,3 BHK,,1453,2,2,73,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,OriewLa,1767,3,2,89,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,,1400,3,2,75,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,Sortz Q,1885,3,2,135,Bandlaguda
Plot  Area,Ready To Move,4 Bedroom,,1344,4,1,84,Bandlaguda
Built-up  Area,Ready To Move,6 BHK,,5100,5,3,300,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,,1464,3,2,56,Bandlaguda
Plot  Area,Ready To Move,2 Bedroom,,2400,2,1,125,Bandlaguda
Plot  Area,Ready To Move,1 Bedroom,,540,1,0,22,Bandlaguda
Built-up  Area,Ready To Move,4 Bedroom,,2400,3,0,185,Bandlaguda
Plot  Area,19-Dec,4 Bedroom,Putere ,4723,4,3,500,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,V2avei ,1290,2,2,72,Bandlaguda
Super built-up  Area,18-Dec,3 BHK,Puveshe,1482,3,1,110,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,,1094,2,2,54,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,NCowsar,1234,2,2,80,Bandlaguda
Super built-up  Area,18-Dec,2 BHK,MVisear,1050,2,1,44.41,Bandlaguda
Super built-up  Area,18-Dec,3 BHK,SNnia E,1810,3,2,97.83,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,Veyalin,1674,3,,81,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,,1648,3,2,85,Bandlaguda
Super built-up  Area,Ready To Move,3 BHK,Prsun S,1703,3,2,120,Bandlaguda
Super built-up  Area,Ready To Move,2 BHK,,1200,2,1,51,Bandlaguda Road
Super built-up  Area,Ready To Move,3 BHK,IBityin,2502,3,3,138,Bandlaguda Road
Super built-up  Area,Ready To Move,2 BHK,,1186,2,2,58,Bandlaguda Road
Super built-up  Area,Ready To Move,2 BHK,Coush W,1069,2,2,45,Bandlaguda Road
Super built-up  Area,21-Jun,3 BHK,Saityat,1826,3,2,121,Bandlaguda Road
Super built-up  Area,Ready To Move,3 BHK,,1464,3,2,56,Bandlaguda Road
Built-up  Area,Ready To Move,2 BHK,,967,2,3,45,Bandlaguda Road
Plot  Area,Ready To Move,1 Bedroom,,600,1,0,50,Bandlaguda Road
Super built-up  Area,20-Dec,2 BHK,Brens7 ,1160 - 1195,2,0,59.935,Bandlaguda Road
Super built-up  Area,Ready To Move,2 BHK,LVniaar,1225,2,1,46.55,Bandlaguda Road
Super built-up  Area,18-Dec,2 BHK,,901,2,1,35.14,Bandlaguda Road
Super built-up  Area,Ready To Move,2 BHK,NCowsar,1234,2,2,80,Bandlaguda Road
Super built-up  Area,Ready To Move,2 BHK,BrontLa,1330,2,1,92.5,Bandlaguda Road
Built-up  Area,Ready To Move,6 Bedroom,,2200,6,2,68,Bandlaguda Road
Super built-up  Area,18-Mar,3 BHK,,1650,3,2,125,Bandlaguda Road
Super built-up  Area,18-Apr,3 BHK,,1240,2,2,46,Bandlaguda Road
Built-up  Area,Ready To Move,2 BHK,,1000,2,1,130,Bandlaguda Road
Built-up  Area,Ready To Move,2 BHK,BSarknd,1100,2,2,50,Bandlaguda Road
Built-up  Area,Ready To Move,4 Bedroom,,2400,3,2,142,Bandlaguda Road
Super built-up  Area,Ready To Move,2 BHK,Mayne A,975,2,1,58,Bandlaguda Road
Super built-up  Area,Ready To Move,3 BHK,SoniaPe,2479.13,3,1,215,Bandlaguda Road
Plot  Area,Ready To Move,2 Bedroom,,585,1,0,70,Bandlaguda Road
Plot  Area,Ready To Move,4 Bedroom,,1200,4,,245,Bandlaguda Road
Plot  Area,Ready To Move,5 Bedroom,,1200,6,,137,Bandlaguda Road
Built-up  Area,Ready To Move,4 Bedroom,,3000,4,0,200,Bandlaguda Road
Super built-up  Area,Ready To Move,2 BHK,Pyikad ,1036,2,3,39.35,Bandlaguda Road
Super built-up  Area,19-Dec,4 BHK,Puarero,2503,4,0,188,Bandlaguda Road
Super built-up  Area,Ready To Move,2 BHK,,1194,2,2,47,Bandlaguda Road
Super built-up  Area,Ready To Move,2 BHK,Maierr ,1100,2,2,55,Bandlaguda Road
Plot  Area,Ready To Move,3 Bedroom,Nathira,1500,3,2,97,Bandlaguda Road
Built-up  Area,Ready To Move,7 Bedroom,,7500,7,2,400,Bandlaguda Road
Super built-up  Area,Ready To Move,3 BHK,Lelia M,3875,3,2,864,Bandlaguda Road
Plot  Area,19-Dec,4 Bedroom,,1800,4,,110,Bandlaguda Road
Super built-up  Area,18-Aug,2 BHK,BMineis,1140,2,2,49.11,Bandlaguda Road
Built-up  Area,Ready To Move,2 BHK,VBvenal,750,2,1,36,Bandlaguda Road
Super built-up  Area,18-May,3 BHK,,1708,3,2,75,Bandlaguda Road
Plot  Area,Ready To Move,2 Bedroom,,1100,2,0,68,Bandlaguda Road
Super built-up  Area,Ready To Move,4 BHK,,3100,5,1,385,Bandlaguda Road
Super built-up  Area,Ready To Move,3 BHK,Sowerew,2145,4,1,270,Bandlaguda Road
Super built-up  Area,Ready To Move,2 BHK,,1134,2,1,40,Bandlaguda Road
Super built-up  Area,Ready To Move,2 BHK,,1330,2,1,78,Bandlaguda Road
Super built-up  Area,17-Sep,1 BHK,Skacak ,605,1,1,40,Bandlaguda Road
Plot  Area,Ready To Move,2 Bedroom,,1200,2,1,100,Bandlaguda Road
Super built-up  Area,Ready To Move,3 BHK,RotatHa,1600,2,2,115,Bandlaguda Road
Super built-up  Area,18-Jun,2 BHK,Sosisic,1369.1,2,1,104,Bandlaguda Road
Super built-up  Area,Ready To Move,3 BHK,,1800,3,3,65,Bandlaguda Road
Plot  Area,Ready To Move,3 Bedroom,,1095,3,0,215,Bandlaguda Road
Plot  Area,Ready To Move,5 Bedroom,,720,4,3,62,Bandlaguda Road
Super built-up  Area,18-May,2 BHK,Soamsay,1012,2,1,59,Bandlaguda Road
Super built-up  Area,18-May,3 BHK,Bhmesy ,1948,3,2,130,Bandlaguda Road
Built-up  Area,Ready To Move,2 BHK,Saavenc,950,2,0,38,Bandlaguda Road
Super built-up  Area,Ready To Move,3 BHK,SNnia E,1810,3,2,126,Bandlaguda Road
Super built-up  Area,Ready To Move,2 BHK,,1095,2,1,38.33,Bandlaguda Road
Plot  Area,Ready To Move,2 Bedroom,,555,1,0,37,Bandlaguda Road
Super built-up  Area,Ready To Move,2 BHK,NDionas,1300,2,2,75,Bandlaguda Road
Super built-up  Area,18-May,1 RK,AsNowre,385 - 440,1,0,19.8,Bandlaguda Road
Super built-up  Area,Ready To Move,2 BHK,,1020,2,1,52,Bandlaguda Road
Plot  Area,Ready To Move,1 Bedroom,,540,1,1,16.5,Bandlaguda Road
Built-up  Area,Ready To Move,1 BHK,GoilsDa,850,1,2,57,Bandlaguda Road
Built-up  Area,Ready To Move,3 BHK,Koillph,1475,3,3,78,Bandlaguda Road
Super built-up  Area,Ready To Move,3 BHK,,1840,3,3,85,Bandlaguda Road
Built-up  Area,18-Mar,1 BHK,Prtates,905,1,1,52,Bandlaguda Road
Super built-up  Area,Ready To Move,3 BHK,MJinala,1293,2,2,85,Bandlaguda Road
Super built-up  Area,Ready To Move,2 BHK,Itelaa ,660,1,1,15.5,Bandlaguda Road
Built-up  Area,Ready To Move,8 BHK,,800,6,3,110,Bandlaguda Road
Super built-up  Area,Ready To Move,2 BHK,Reiteee,1127,2,1,65,Bandlaguda Road
Built-up  Area,Ready To Move,3 BHK,,1480,2,1,58,Bandlaguda Road
Super built-up  Area,Ready To Move,3 BHK,PuhtsHe,2968,3,,225,Bandlaguda Road
Plot  Area,Ready To Move,12 Bedroom,,2232,6,2,300,Bandlaguda Road
Super built-up  Area,Ready To Move,3 BHK,,1250,2,1,50,Bandlaguda Road
Super built-up  Area,17-Dec,2 BHK,Sahtsva,1027,2,1,60,Bandlaguda Road
Super built-up  Area,Ready To Move,3 BHK,PancyPr,1600,3,2,112,Bandlaguda Road
Super built-up  Area,Ready To Move,3 BHK,,1240,2,2,59.52,Bandlaguda Road
Built-up  Area,Ready To Move,3 BHK,,1436,2,2,55,Bandlaguda Road
Super built-up  Area,18-Mar,2 BHK,Shitt S,1145,2,1,54,Bandlaguda Road
Super built-up  Area,Ready To Move,2 BHK,Axdam V,1000,2,1,70.65,Bandlaguda Road
Super built-up  Area,Ready To Move,2 BHK,Contsci,1350,2,2,68,Bandlaguda Road
Super built-up  Area,Ready To Move,2 BHK,,1246,2,1,67.3,Bandlaguda Road
Super built-up  Area,18-Dec,3 BHK,Prtates,2134,4,2,118,Bandlaguda Road
Plot  Area,Ready To Move,7 Bedroom,,2400,6,,450,Bandlaguda Road
Super built-up  Area,18-Apr,3 BHK,Sryalan,1220,2,1,36.21,Bandlaguda Road
Built-up  Area,Ready To Move,3 BHK,Bustain,1480,3,2,74,Bandlaguda Road
Plot  Area,Ready To Move,3 Bedroom,,800,3,0,95,Bandlaguda Road
Built-up  Area,Ready To Move,2 BHK,,1290,2,0,90,Bandlaguda Road
Built-up  Area,18-Jun,1 BHK,,661,1,1,40,Bandlaguda Road
Super built-up  Area,18-May,4 BHK,,11000,4,1,1600,Bandlaguda Road
Super built-up  Area,Ready To Move,2 BHK,,1194,2,1,51,Bandlaguda Road
Super built-up  Area,Ready To Move,3 BHK,Inntsa ,1730,3,1,93,Bandlaguda Road
Super built-up  Area,18-Aug,3 BHK,,1650,3,2,90.75,Bandlaguda Road
Super built-up  Area,19-Dec,2 BHK,DSata S,1035,2,1,31.05,Bandlaguda Road
Super built-up  Area,19-Dec,4 BHK,,5108,5,2,995,Bandlaguda Road
Plot  Area,Ready To Move,2 Bedroom,,616,3,1,45,Bandlaguda Road
Carpet  Area,Ready To Move,2 BHK,,1100,2,2,70,Bandlaguda Road
Super built-up  Area,Ready To Move,3 BHK,,3850,3,3,650,Bandlaguda Road
Built-up  Area,Ready To Move,2 BHK,,900,2,1,60,Bandlaguda Road
Super built-up  Area,Ready To Move,2 BHK,Sklls C,1205,2,1,56.58,Bandlaguda Road
Super built-up  Area,22-Dec,2 BHK,,700,2,1,35,Bandlaguda Road
Built-up  Area,Ready To Move,2 BHK,Mavanru,800,2,2,32,Bandlaguda Road
Super built-up  Area,Ready To Move,2 BHK,Maows M,1150,2,1,42,Bandlaguda Road
